start_zone_id,start_zone_name,end_zone_id,end_zone_name,time_bucket,duration
209,Seaport,4,Alphabet City,8:00 AM–11:00 AM,22
211,SoHo,4,Alphabet City,8:00 AM–11:00 AM,18
211,SoHo,4,Alphabet City,7:00 PM–10:00 PM,14
211,SoHo,4,Alphabet City,11:00 AM–4:00 PM,15
211,SoHo,4,Alphabet City,4:00 PM–7:00 PM,14
211,SoHo,4,Alphabet City,10:00 PM–8:00 AM,16
217,South Williamsburg,4,Alphabet City,8:00 AM–11:00 AM,25
217,South Williamsburg,4,Alphabet City,7:00 PM–10:00 PM,14
217,South Williamsburg,4,Alphabet City,11:00 AM–4:00 PM,21
217,South Williamsburg,4,Alphabet City,4:00 PM–7:00 PM,19
223,Steinway,4,Alphabet City,11:00 AM–4:00 PM,47
223,Steinway,4,Alphabet City,10:00 PM–8:00 AM,44
223,Steinway,4,Alphabet City,4:00 PM–7:00 PM,55
224,Stuy Town/Peter Cooper Village,4,Alphabet City,11:00 AM–4:00 PM,10
224,Stuy Town/Peter Cooper Village,4,Alphabet City,7:00 PM–10:00 PM,9
224,Stuy Town/Peter Cooper Village,4,Alphabet City,10:00 PM–8:00 AM,9
224,Stuy Town/Peter Cooper Village,4,Alphabet City,4:00 PM–7:00 PM,9
224,Stuy Town/Peter Cooper Village,4,Alphabet City,8:00 AM–11:00 AM,8
225,Stuyvesant Heights,4,Alphabet City,11:00 AM–4:00 PM,27
225,Stuyvesant Heights,4,Alphabet City,8:00 AM–11:00 AM,28
225,Stuyvesant Heights,4,Alphabet City,4:00 PM–7:00 PM,35
225,Stuyvesant Heights,4,Alphabet City,10:00 PM–8:00 AM,31
226,Sunnyside,4,Alphabet City,10:00 PM–8:00 AM,40
229,Sutton Place/Turtle Bay North,4,Alphabet City,4:00 PM–7:00 PM,24
229,Sutton Place/Turtle Bay North,4,Alphabet City,10:00 PM–8:00 AM,21
229,Sutton Place/Turtle Bay North,4,Alphabet City,11:00 AM–4:00 PM,28
229,Sutton Place/Turtle Bay North,4,Alphabet City,7:00 PM–10:00 PM,28
229,Sutton Place/Turtle Bay North,4,Alphabet City,8:00 AM–11:00 AM,22
230,Times Sq/Theatre District,4,Alphabet City,7:00 PM–10:00 PM,29
230,Times Sq/Theatre District,4,Alphabet City,8:00 AM–11:00 AM,36
230,Times Sq/Theatre District,4,Alphabet City,4:00 PM–7:00 PM,29
230,Times Sq/Theatre District,4,Alphabet City,10:00 PM–8:00 AM,26
230,Times Sq/Theatre District,4,Alphabet City,11:00 AM–4:00 PM,31
231,TriBeCa/Civic Center,4,Alphabet City,8:00 AM–11:00 AM,18
231,TriBeCa/Civic Center,4,Alphabet City,10:00 PM–8:00 AM,18
231,TriBeCa/Civic Center,4,Alphabet City,7:00 PM–10:00 PM,19
231,TriBeCa/Civic Center,4,Alphabet City,4:00 PM–7:00 PM,23
231,TriBeCa/Civic Center,4,Alphabet City,11:00 AM–4:00 PM,22
232,Two Bridges/Seward Park,4,Alphabet City,4:00 PM–7:00 PM,8
232,Two Bridges/Seward Park,4,Alphabet City,8:00 AM–11:00 AM,8
232,Two Bridges/Seward Park,4,Alphabet City,10:00 PM–8:00 AM,9
232,Two Bridges/Seward Park,4,Alphabet City,11:00 AM–4:00 PM,9
232,Two Bridges/Seward Park,4,Alphabet City,7:00 PM–10:00 PM,8
233,UN/Turtle Bay South,4,Alphabet City,10:00 PM–8:00 AM,18
233,UN/Turtle Bay South,4,Alphabet City,7:00 PM–10:00 PM,16
233,UN/Turtle Bay South,4,Alphabet City,8:00 AM–11:00 AM,23
233,UN/Turtle Bay South,4,Alphabet City,11:00 AM–4:00 PM,20
233,UN/Turtle Bay South,4,Alphabet City,4:00 PM–7:00 PM,16
234,Union Sq,4,Alphabet City,7:00 PM–10:00 PM,15
234,Union Sq,4,Alphabet City,8:00 AM–11:00 AM,14
234,Union Sq,4,Alphabet City,11:00 AM–4:00 PM,15
234,Union Sq,4,Alphabet City,4:00 PM–7:00 PM,14
234,Union Sq,4,Alphabet City,10:00 PM–8:00 AM,14
236,Upper East Side North,4,Alphabet City,4:00 PM–7:00 PM,33
236,Upper East Side North,4,Alphabet City,11:00 AM–4:00 PM,36
236,Upper East Side North,4,Alphabet City,10:00 PM–8:00 AM,27
236,Upper East Side North,4,Alphabet City,7:00 PM–10:00 PM,36
236,Upper East Side North,4,Alphabet City,8:00 AM–11:00 AM,24
